,player_defMatchup_a,player_off_a,player_off_ht,player_defMatchup_ht,poss,ptsScored_team,fga,fg,fga3,fg3,qSQ,iso_actions,iso_pts,pick_actions,pick_pts,post_actions,post_pts,offBall_actions,offBall_pts,passes,assistOppCreated,touches,touches_direct,touches_catchAndShoot,touches_paint,touches_time,tov,fta,ft_player,fouls
10550,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,,,,,,,,2.0,2.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,8.24,,,,
10565,"Morser, Cheyenne","Nading, Samuel",79,79,1,3,,,,,,,,,,,,0,0,,,,,,,,,,,
10600,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,1.0,0.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,8.04,,,,
10610,"Morser, Cheyenne","Nading, Samuel",79,79,1,1,,,,,,,,,,,,0,0,2.0,0.0,2.0,0.0,0.0,0.0,2.38,,,,
10626,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,,,,,,,,,,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,14.04,,,,
10680,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,1.0,0.0,0.0,0.0,43.4078544378,,,1.0,0.0,,,0,0,1.0,0.0,2.0,1.0,0.0,0.0,5.08,,,,
10740,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,1.0,0.0,,,0,0,1.0,1.0,1.0,1.0,0.0,0.0,3.08,,,,
10751,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,,,,,,,,,,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.68,,,,
10792,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,,,,,0,0,,,1.0,1.0,0.0,0.0,0.8,,2.0,0.0,1.0
10906,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,1.0,0.0,,,0,0,2.0,0.0,2.0,0.0,0.0,0.0,4.32,,,,
10916,"Morser, Cheyenne","Nading, Samuel",79,79,1,3,,,,,,,,1.0,3.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,6.16,,,,
10956,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,1.0,1.0,0.0,0.0,34.9642902613,1.0,2.0,,,,,0,0,,,1.0,1.0,0.0,0.0,12.48,,,,
10984,"Morser, Cheyenne","Nading, Samuel",79,79,1,3,1.0,1.0,1.0,1.0,32.4431821704,,,1.0,3.0,,,0,0,1.0,0.0,2.0,1.0,0.0,0.0,5.14,,,,
10985,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,1.0,0.0,,,,,0,0,2.0,0.0,2.0,0.0,0.0,0.0,7.66,,,,
11042,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,,,,,0,0,,,,,,,,,,,
11051,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,1.0,0.0,0.0,0.0,32.2980612516,,,,,,,0,0,,,1.0,1.0,0.0,0.0,3.48,,,,
11081,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,,,,,,,,1.0,0.0,,,1,0,2.0,0.0,2.0,0.0,0.0,0.0,5.14,,,,
11112,"Morser, Cheyenne","Nading, Samuel",79,79,1,3,,,,,,,,1.0,3.0,,,0,0,1.0,1.0,1.0,1.0,0.0,0.0,9.6,,,,
11113,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,1.0,0.0,,,1,0,2.0,0.0,2.0,0.0,0.0,0.0,3.68,,,,
11152,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,1.0,0.0,,,,,0,0,1.0,1.0,1.0,1.0,0.0,0.0,10.16,,,,
11173,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,,,,,0,0,1.0,1.0,1.0,1.0,0.0,0.0,3.64,,,,
11239,"Morser, Cheyenne","Nading, Samuel",79,79,1,1,,,,,,,,,,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,8.56,,,,
11243,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,0.0,0.0,0.0,0.0,,1.0,2.0,1.0,2.0,,,0,0,,,1.0,1.0,0.0,0.0,15.72,,2.0,2.0,1.0
11460,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,2.0,0.0,,,0,0,,,1.0,1.0,0.0,0.0,9.4,,,,
11539,"Morser, Cheyenne","Nading, Samuel",79,79,1,1,,,,,,,,,,,,0,0,,,,,,,,,,,
11543,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,1.0,0.0,1.0,0.0,40.5463010073,,,,,,,0,0,1.0,0.0,2.0,1.0,0.0,0.0,2.24,,,,
11544,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,,,,,,,,1.0,2.0,,,0,0,2.0,0.0,2.0,1.0,0.0,0.0,4.0200000000000005,,,,
11568,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,,,,,0,0,,,,,,,,,,,
11583,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,,,,,,,,1.0,2.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,,,,
11586,"Morser, Cheyenne","Nading, Samuel",79,79,1,1,,,,,,1.0,1.0,,,,,0,0,,,1.0,1.0,0.0,0.0,6.52,,2.0,1.0,1.0
11606,"Morser, Cheyenne","Nading, Samuel",79,79,1,3,,,,,,,,,,,,2,6,1.0,1.0,1.0,1.0,0.0,0.0,5.24,,,,
11724,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,0.0,0.0,0.0,0.0,,,,2.0,2.0,,,0,0,,,1.0,1.0,0.0,0.0,11.52,,2.0,2.0,1.0
11729,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,,,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,2.84,,,,
11775,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,,,,,1,0,1.0,0.0,1.0,0.0,0.0,0.0,4.16,,,,
11793,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,2.0,0.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,16.4,,,,
11816,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,,,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.68,,,,
11899,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,,,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.76,,,,
11936,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,,,,,,,,,,,,1,2,1.0,1.0,1.0,1.0,0.0,0.0,2.12,,,,
11966,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,,,,,,,,1.0,0.0,,,0,0,2.0,0.0,2.0,0.0,0.0,0.0,6.039999999999999,,,,
12075,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,,,,,,,,1.0,2.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,10.76,,,,
12163,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,2.0,0.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,11.68,,,,
12169,"Morser, Cheyenne","Nading, Samuel",79,79,1,3,,,,,,,,1.0,0.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,7.36,,,,
12245,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,2.0,0.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,8.44,,,,
12316,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,1.0,1.0,0.0,0.0,29.9094706774,,,,,,,0,0,,,1.0,1.0,0.0,0.0,3.44,,,,
12416,"Morser, Cheyenne","Nading, Samuel",79,79,1,3,,,,,,,,1.0,0.0,,,0,0,2.0,0.0,2.0,0.0,0.0,0.0,3.68,,,,
12417,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,1.0,0.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,9.76,,,,
12420,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,1.0,0.0,,,0,0,1.0,0.0,1.0,1.0,0.0,0.0,5.32,1.0,,,
12471,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,1.0,1.0,0.0,0.0,40.018543601,1.0,2.0,,,,,0,0,,,1.0,1.0,0.0,0.0,9.44,,,,
12473,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,1.0,1.0,0.0,0.0,43.3916956186,,,,,1.0,2.0,0,0,,,1.0,1.0,0.0,0.0,8.96,,,,
12507,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,1.0,0.0,,,1,0,1.0,0.0,1.0,0.0,0.0,0.0,6.64,,,,
12583,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,1.0,0.0,2.0,0.0,,,0,0,2.0,0.0,2.0,1.0,0.0,0.0,5.5,1.0,,,
12601,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,1.0,0.0,0.0,0.0,19.2268848419,1.0,0.0,,,,,1,0,1.0,0.0,2.0,1.0,0.0,0.0,5.48,,,,
12635,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,1.0,0.0,0.0,0.0,52.6965141296,,,2.0,0.0,,,0,0,,,1.0,1.0,0.0,0.0,9.76,,,,
12728,"Morser, Cheyenne","Nading, Samuel",79,79,1,3,1.0,1.0,1.0,1.0,47.1487462521,,,1.0,3.0,,,0,0,,,1.0,1.0,0.0,0.0,2.92,,,,
12738,"Morser, Cheyenne","Nading, Samuel",79,79,1,3,,,,,,,,1.0,0.0,,,0,0,2.0,0.0,2.0,0.0,0.0,0.0,5.5200000000000005,,,,
12808,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,,,,,0,0,,,,,,,,,,,
12878,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,2.0,0.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,9.4,,,,
12894,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,1.0,0.0,1.0,0.0,48.071564734,,,1.0,0.0,,,1,0,1.0,1.0,2.0,2.0,1.0,0.0,5.28,,,,
12933,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,,,,,,,,1.0,2.0,,,1,2,2.0,1.0,2.0,1.0,0.0,0.0,5.84,,,,
12986,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,,,,,,,,,,,,0,0,1.0,1.0,1.0,1.0,0.0,0.0,5.12,,,,
13017,"Morser, Cheyenne","Nading, Samuel",79,79,1,3,,,,,,,,1.0,0.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,6.12,,,,
13019,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,1.0,0.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,11.08,,,,
13123,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,,,,,,,,,,,,0,0,,,,,,,,,,,
13169,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,1.0,0.0,0.0,0.0,37.8541231155,,,1.0,0.0,,,0,0,,,1.0,1.0,0.0,0.0,11.48,,,,
13315,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,,,,,,,,,,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,3.44,,,,
13334,"Morser, Cheyenne","Nading, Samuel",79,79,1,3,,,,,,,,1.0,3.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,6.92,,,,
13650,"Rosser, Michael","Nading, Samuel",79,82,1,2,1.0,1.0,0.0,0.0,45.8730995655,1.0,2.0,1.0,2.0,,,0,0,,,1.0,1.0,0.0,0.0,14.92,,,,
13986,"Rosser, Michael","Nading, Samuel",79,82,1,0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,,,0,0,,,1.0,1.0,0.0,0.0,20.8,,2.0,0.0,1.0
14492,"Rosser, Michael","Nading, Samuel",79,82,1,0,,,,,,,,1.0,0.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,9.96,,,,
14880,"Rosser, Michael","Nading, Samuel",79,82,1,2,1.0,1.0,0.0,0.0,52.2961735725,,,1.0,2.0,,,0,0,,,1.0,1.0,0.0,0.0,11.52,,,,
15238,"Rosser, Michael","Nading, Samuel",79,82,1,3,,,,,,,,1.0,0.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,15.2,,,,
16269,"Rosser, Michael","Nading, Samuel",79,82,1,0,,,,,,,,1.0,0.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,14.8,,,,
16917,"Richards, Santos","Nading, Samuel",79,80,1,2,,,,,,,,,,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.96,,,,
17027,"Richards, Santos","Nading, Samuel",79,80,1,0,,,,,,,,,,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,4.96,,,,
17156,"Richards, Santos","Nading, Samuel",79,80,1,2,1.0,1.0,0.0,0.0,48.120996356,,,,,1.0,2.0,1,2,,,1.0,1.0,0.0,0.0,10.72,,,,
17629,"Richards, Santos","Nading, Samuel",79,80,1,0,,,,,,,,1.0,0.0,,,0,0,,,1.0,1.0,0.0,0.0,8.0,,,,
17675,"Richards, Santos","Nading, Samuel",79,80,1,0,,,,,,1.0,0.0,2.0,0.0,,,0,0,3.0,1.0,3.0,1.0,0.0,0.0,4.613333333333333,,,,
18023,"Richards, Santos","Nading, Samuel",79,80,1,0,,,,,,,,,,,,2,0,2.0,1.0,2.0,1.0,0.0,0.0,1.86,,,,
18166,"Richards, Santos","Nading, Samuel",79,80,1,0,,,,,,,,,,,,1,0,2.0,1.0,2.0,1.0,0.0,0.0,4.88,,,,
18198,"Richards, Santos","Nading, Samuel",79,80,1,0,,,,,,,,1.0,0.0,,,0,0,2.0,1.0,2.0,1.0,0.0,0.0,5.62,,,,
18406,"Richards, Santos","Nading, Samuel",79,80,1,3,1.0,1.0,1.0,1.0,46.8149766326,,,,,,,0,0,,,1.0,1.0,0.0,0.0,1.92,,,,
18440,"Richards, Santos","Nading, Samuel",79,80,1,0,,,,,,,,1.0,0.0,,,1,0,2.0,0.0,2.0,1.0,0.0,0.0,5.98,1.0,,,
18627,"Richards, Santos","Nading, Samuel",79,80,1,2,,,,,,,,1.0,0.0,,,0,0,2.0,0.0,2.0,0.0,0.0,0.0,7.42,,,,
19418,"Richards, Santos","Nading, Samuel",79,80,1,3,,,,,,,,2.0,3.0,,,0,0,2.0,1.0,2.0,1.0,0.0,0.0,7.680000000000001,,,,
19433,"Richards, Santos","Nading, Samuel",79,80,1,2,0.0,0.0,0.0,0.0,,1.0,2.0,1.0,2.0,,,0,0,1.0,0.0,2.0,1.0,0.0,0.0,5.54,,2.0,2.0,1.0
19524,"Richards, Santos","Nading, Samuel",79,80,1,0,,,,,,,,2.0,0.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,6.88,,,,
19538,"Richards, Santos","Nading, Samuel",79,80,1,2,,,,,,,,1.0,0.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,6.68,,,,
19555,"Richards, Santos","Nading, Samuel",79,80,1,3,,,,,,,,,,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,2.88,,,,
19832,"Richards, Santos","Nading, Samuel",79,80,1,3,,,,,,,,1.0,3.0,,,0,0,2.0,0.0,2.0,0.0,0.0,0.0,4.76,,,,
20096,"Richards, Santos","Nading, Samuel",79,80,1,0,1.0,0.0,1.0,0.0,55.3214907646,,,,,,,0,0,,,1.0,1.0,1.0,0.0,0.96,,,,
20124,"Richards, Santos","Nading, Samuel",79,80,1,0,,,,,,,,1.0,0.0,,,1,0,1.0,0.0,1.0,0.0,0.0,0.0,4.64,,,,
20549,"Richards, Santos","Nading, Samuel",79,80,1,3,,,,,,,,,,,,0,0,3.0,1.0,3.0,1.0,0.0,0.0,4.333333333333333,,,,
20637,"Rivas, Cody","Nading, Samuel",79,80,1,0,,,,,,,,,,,,2,0,1.0,0.0,1.0,1.0,0.0,0.0,1.48,1.0,,,
20781,"Rivas, Cody","Nading, Samuel",79,80,1,0,,,,,,,,1.0,0.0,,,0,0,1.0,0.0,1.0,1.0,0.0,0.0,6.48,1.0,,,
21131,"Rivas, Cody","Nading, Samuel",79,80,1,2,1.0,1.0,0.0,0.0,77.0965456963,,,1.0,2.0,,,0,0,,,1.0,1.0,0.0,0.0,10.48,,,,
21318,"Rivas, Cody","Nading, Samuel",79,80,1,0,,,,,,,,,,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.28,,,,
21441,"Rivas, Cody","Nading, Samuel",79,80,1,0,,,,,,,,1.0,0.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,6.68,,,,
21679,"Rivas, Cody","Nading, Samuel",79,80,1,2,1.0,1.0,0.0,0.0,66.5536522865,,,1.0,2.0,,,0,0,1.0,0.0,2.0,1.0,0.0,0.0,6.08,,,,
21990,"Rivas, Cody","Nading, Samuel",79,80,1,2,,,,,,,,,,,,0,0,1.0,1.0,1.0,1.0,0.0,0.0,7.2,,,,
22148,"Rivas, Cody","Nading, Samuel",79,80,1,2,,,,,,,,,,,,2,4,1.0,1.0,1.0,1.0,0.0,0.0,3.04,,,,
22657,"Rivas, Cody","Nading, Samuel",79,80,1,0,,,,,,1.0,0.0,1.0,0.0,,,0,0,1.0,1.0,1.0,1.0,0.0,0.0,5.88,,,,
22881,"Rivas, Cody","Nading, Samuel",79,80,1,0,,,,,,,,,,,,0,0,,,,,,,,,,,
22992,"Rivas, Cody","Nading, Samuel",79,80,1,2,,,,,,,,,,,,0,0,,,,,,,,,,,
23084,"Rivas, Cody","Nading, Samuel",79,80,1,0,,,,,,1.0,0.0,,,,,0,0,2.0,0.0,2.0,1.0,0.0,0.0,6.48,,,,
23111,"Rivas, Cody","Nading, Samuel",79,80,1,1,,,,,,,,1.0,1.0,,,0,0,1.0,1.0,1.0,1.0,0.0,0.0,18.72,,,,
23124,"Rivas, Cody","Nading, Samuel",79,80,1,3,,,,,,,,1.0,3.0,,,0,0,1.0,1.0,1.0,1.0,0.0,0.0,10.76,,,,
23139,"Rivas, Cody","Nading, Samuel",79,80,1,0,,,,,,2.0,0.0,,,,,1,0,3.0,2.0,3.0,2.0,0.0,0.0,4.43,,,,
23268,"Rivas, Cody","Nading, Samuel",79,80,1,0,1.0,0.0,1.0,0.0,51.2590482831,2.0,0.0,,,,,0,0,1.0,1.0,2.0,2.0,0.0,0.0,11.52,,,,
23452,"Rivas, Cody","Nading, Samuel",79,80,1,3,,,,,,,,1.0,3.0,,,0,0,1.0,1.0,1.0,1.0,0.0,0.0,14.92,,,,
23463,"Rivas, Cody","Nading, Samuel",79,80,1,3,1.0,1.0,1.0,1.0,48.3352303505,1.0,3.0,,,,,0,0,,,1.0,1.0,0.0,0.0,6.08,,,,
23541,"Rivas, Cody","Nading, Samuel",79,80,1,0,,,,,,,,,,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,6.12,,,,
23670,"Rivas, Cody","Nading, Samuel",79,80,1,3,1.0,1.0,1.0,1.0,52.9605790973,,,,,,,0,0,,,1.0,1.0,1.0,0.0,1.28,,,,
24022,"Rivas, Cody","Nading, Samuel",79,80,1,2,0.0,0.0,0.0,0.0,,,,1.0,2.0,,,0,0,1.0,0.0,2.0,1.0,0.0,0.0,6.16,,2.0,2.0,1.0
24042,"Rivas, Cody","Nading, Samuel",79,80,1,2,1.0,1.0,0.0,0.0,53.915476799,,,1.0,2.0,,,0,0,,,1.0,1.0,0.0,0.0,10.64,,,,
24073,"Rivas, Cody","Nading, Samuel",79,80,1,3,,,,,,,,1.0,3.0,,,0,0,1.0,1.0,1.0,1.0,0.0,0.0,5.84,,,,
24189,"Rivas, Cody","Nading, Samuel",79,80,1,0,,,,,,,,1.0,0.0,,,0,0,1.0,1.0,1.0,1.0,0.0,0.0,6.2,,,,
24234,"Rivas, Cody","Nading, Samuel",79,80,1,0,,,,,,,,,,,,0,0,,,,,,,,,,,
24295,"Rivas, Cody","Nading, Samuel",79,80,1,0,,,,,,,,,,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,2.44,,,,
24343,"Rivas, Cody","Nading, Samuel",79,80,1,0,,,,,,,,,,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,2.48,,,,
24354,"Rivas, Cody","Nading, Samuel",79,80,1,0,,,,,,,,,,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.4,,,,
24406,"Rivas, Cody","Nading, Samuel",79,80,1,0,,,,,,,,,,,,2,0,,,1.0,1.0,0.0,0.0,2.44,1.0,,,
25541,"Chavez, Jakob","Nading, Samuel",79,78,1,0,,,,,,,,,,,,0,0,,,,,,,,,,,
27095,"Chavez, Jakob","Nading, Samuel",79,78,1,0,,,,,,,,2.0,0.0,,,0,0,1.0,1.0,1.0,1.0,0.0,0.0,9.64,,,,
28103,"Orr, Jeffrey","Nading, Samuel",79,79,1,0,,,,,,,,,,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,10.68,,,,
28844,"Orr, Jeffrey","Nading, Samuel",79,79,1,2,,,,,,,,,,,,0,0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,,,,
29071,"Orr, Jeffrey","Nading, Samuel",79,79,1,2,1.0,1.0,0.0,0.0,36.3825172186,,,,,,,1,2,,,1.0,1.0,0.0,0.0,6.08,,,,
29608,"Orr, Jeffrey","Nading, Samuel",79,79,1,0,1.0,0.0,1.0,0.0,46.1082726717,1.0,0.0,2.0,0.0,,,0,0,1.0,0.0,2.0,1.0,0.0,0.0,7.9,,,,
29866,"Orr, Jeffrey","Nading, Samuel",79,79,1,0,,,,,,,,,,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,11.12,,,,
29964,"Orr, Jeffrey","Nading, Samuel",79,79,1,1,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,,,0,0,,,1.0,1.0,0.0,0.0,8.84,,2.0,1.0,1.0
30268,"Orr, Jeffrey","Nading, Samuel",79,79,1,2,,,,,,,,1.0,0.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,7.12,,,,
30354,"Orr, Jeffrey","Nading, Samuel",79,79,1,2,1.0,1.0,0.0,0.0,42.9041028023,,,,,,,0,0,,,1.0,1.0,0.0,0.0,3.48,,,,
30812,"Orr, Jeffrey","Nading, Samuel",79,79,1,2,,,,,,,,1.0,2.0,,,0,0,1.0,0.0,1.0,1.0,0.0,0.0,11.92,,,,
